Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
121973,ARABIC 134,Colloquial Levantine Arabic,1,Near Eastern Languages & Civ,"Barmada,Nour",5,1,0,2,0,1,0,9
118412,ARABIC 241BR,Advanced Modern Arabic Bridge,1,Near Eastern Languages & Civ,"Alkyam,Sami Mahmoud",6,6,0,1,0,0,0,13
108970,ARABIC 242BR,Arabic Five,1,Near Eastern Languages & Civ,"Alkyam,Sami Mahmoud",2,3,0,1,0,0,0,6
109802,ARABIC 243BR,Arabic Bridge II: Rational Sci,1,Near Eastern Languages & Civ,"El-rouayheb,Khaled",3,5,0,4,0,0,0,12
114291,ARABIC 245R,Class Arabic Lit Seminar,1,Near Eastern Languages & Civ,"Nasser,Shady Hekmat",0,2,0,0,0,0,0,2
137756,ARABIC 248R,Rdngs in Social & Legal Texts,1,Near Eastern Languages & Civ,"Fahmy,Khaled",0,6,0,1,0,0,0,7
122571,ARABIC 250R,Islamic Theological Texts,1,Near Eastern Languages & Civ,"El-rouayheb,Khaled",0,6,0,0,0,0,0,6
122472,ARABIC 300,Reading/Research in Arabic,1,Near Eastern Languages & Civ,"El-rouayheb,Khaled",0,1,0,0,0,0,0,1
122472,ARABIC 300,Reading/Research in Arabic,3,Near Eastern Languages & Civ,"Granara,William",0,1,0,0,0,0,0,1
159876,ARABIC AB,Elementary Arabic,1,Near Eastern Languages & Civ,"Alkyam,Sami Mahmoud",3,1,1,0,0,0,0,5
159876,ARABIC AB,Elementary Arabic,2,Near Eastern Languages & Civ,"Alkyam,Sami Mahmoud",9,1,0,3,0,0,0,13
159876,ARABIC AB,Elementary Arabic,3,Near Eastern Languages & Civ,"Alkyam,Sami Mahmoud",8,2,0,3,0,0,0,13
159876,ARABIC AB,Elementary Arabic,4,Near Eastern Languages & Civ,"Alkyam,Sami Mahmoud",14,0,0,1,0,0,0,15
159876,ARABIC AB,Elementary Arabic,5,Near Eastern Languages & Civ,"Alkyam,Sami Mahmoud",4,3,1,0,0,0,0,8
159876,ARABIC AB,Elementary Arabic,6,Near Eastern Languages & Civ,"Alkyam,Sami Mahmoud",0,0,0,0,0,0,0,0
